query_id,sensor_type,data_size_bytes,quantity,duration,energy_consumption,data_yield,hypervolume_value,transmission_efficiency
1,PulseOximeter,18,12,261,0.2403950683025824,152.27525095137952,0.9330880728874675,2.26457078804024
2,PulseOximeter,18,12,375,0.2285801361297467,685.7996256539676,0.5282057895135501,4.226011222731205
3,PulseOximeter,18,12,351,0.45987487454373,141.99909689225387,0.9868777594207296,0.8681647438294037
4,BloodPressure,14,12,507,0.4442157921404465,984.9077972261093,0.73338144662399,3.207181522851981
5,BodyTemperature,12,12,746,0.1585464336867516,953.9969835279999,0.9828160165372797,7.927274955881688
6,ECG,135,12,87,0.4468748522859245,114.36962699819277,0.6154469128110744,1.8104900152006962
7,PulseOximeter,18,12,268,0.5456592191001431,130.94966900369656,0.954660201039391,0.8548638089379481
8,PulseOximeter,18,12,337,0.2640124790092561,779.8252692858872,0.7125779372456224,6.2456165848466
9,ECG,135,12,70,0.8580562971354987,504.7787200327891,0.6975751180009072,5.862437104597031
10,PulseOximeter,18,12,355,0.6381099809299766,929.6868115208051,0.5442462510259598,2.2336145272305257
11,PulseOximeter,18,12,340,0.4498095607205338,344.2141285965063,0.9143687545759647,2.057986257222422
12,ECG,135,12,73,0.9687297765377242,646.3308229180162,0.6379995910112717,5.831090187431771
13,BodyTemperature,12,12,902,0.7561064512368886,794.1433120173511,0.5370223258670452,0.6253191701570235
14,ECG,135,12,97,0.20428215357261675,876.7930832880342,0.811649063413779,35.913955908362496
15,ECG,135,12,75,0.7019571273972466,699.330120955747,0.7956488938538635,10.568950067558617
16,BloodPressure,14,12,473,0.6051190832629311,444.6341872784109,0.9858560476945519,1.5314907106294773
17,BloodPressure,14,12,586,0.7938704619591049,544.4160367279517,0.7613664146909971,0.8909993060373984
18,ECG,135,12,110,0.12287721406968567,197.102284293974,0.5157145928433671,7.520332394988727
19,Accelerometer,120,12,71,0.9168098265334838,324.36300623398745,0.7051914615178149,3.5139918819435723
20,BloodPressure,14,12,351,0.28275510226129247,948.568213502183,0.799432733244268,7.640696113053729
